0,1
1,11
2,12
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,12
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,14
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,15
50,15
51,15
52,15
53,15
54,15
55,15
56,15
57,15
58,15
59,15
60,15
61,15
62,15
63,15
64,15
65,15
66,15
67,15
68,15
69,21
70,21
71,21
72,21
73,22
74,22
75,22
76,22
77,22
78,22
79,22
80,22
81,22
82,22
83,22
84,22
85,22
86,22
87,22
88,22
89,22
90,22
91,23
92,23
93,23
94,23
95,23
96,23
97,23
98,23
99,23
